Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DHI Units,DNI Units,GHI Units,Temperature Units,Wind Speed Units
NSRDB,20013,Jodhpur,Rajasthan,India,26.35,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,m/s
,,,,,,,,,,,,,,
Hour,GHI,DHI,Temperature,Wind Speed,,,,,,,,,,
3314,0,0,29,0.1,,,,,,,,,,
3315,0,0,28,0.2,,,,,,,,,,
3316,0,0,28,0.2,,,,,,,,,,
3317,0,0,27,0.2,,,,,,,,,,
3318,0,0,27,0.1,,,,,,,,,,
3319,47,44,29,0.1,,,,,,,,,,
3320,242,162,32,0.1,,,,,,,,,,
3321,467,213,36,0,,,,,,,,,,
3322,669,254,39,0,,,,,,,,,,
3323,834,280,41,0.1,,,,,,,,,,
3324,939,295,43,0.2,,,,,,,,,,
3325,980,301,43,0.2,,,,,,,,,,
3326,952,297,44,0.2,,,,,,,,,,
3327,857,284,43,0.2,,,,,,,,,,
3328,695,257,42,0.2,,,,,,,,,,
3329,497,218,40,0.2,,,,,,,,,,
3330,272,176,38,0.2,,,,,,,,,,
3331,68,64,36,0.2,,,,,,,,,,
3332,0,0,34,0.2,,,,,,,,,,
3333,0,0,34,0.2,,,,,,,,,,
3334,0,0,33,0.2,,,,,,,,,,
3335,0,0,32,0.2,,,,,,,,,,
3336,0,0,31,0.2,,,,,,,,,,
3337,0,0,31,0.2,,,,,,,,,,
3338,0,0,30,0.2,,,,,,,,,,
3339,0,0,29,0.1,,,,,,,,,,
3340,0,0,29,0.1,,,,,,,,,,
3341,0,0,28,0.1,,,,,,,,,,
3342,0,0,28,0.1,,,,,,,,,,
3343,52,50,30,0.1,,,,,,,,,,
3344,254,161,33,0.1,,,,,,,,,,
3345,468,213,38,0.1,,,,,,,,,,
3346,669,254,41,0,,,,,,,,,,
3347,840,282,43,0,,,,,,,,,,
3348,945,296,44,0.1,,,,,,,,,,
3349,985,301,45,0.1,,,,,,,,,,
3350,955,298,45,0.2,,,,,,,,,,
3351,860,285,44,0.2,,,,,,,,,,
3352,696,258,43,0.2,,,,,,,,,,
3353,511,224,41,0.2,,,,,,,,,,
3354,285,174,39,0.2,,,,,,,,,,
3355,70,65,36,0.2,,,,,,,,,,
3356,0,0,35,0.2,,,,,,,,,,
3357,0,0,34,0.2,,,,,,,,,,
3358,0,0,33,0.2,,,,,,,,,,
3359,0,0,32,0.2,,,,,,,,,,
3360,0,0,32,0.2,,,,,,,,,,
3361,0,0,31,0.2,,,,,,,,,,
3362,0,0,30,0.2,,,,,,,,,,
3363,0,0,30,0.2,,,,,,,,,,
3364,0,0,29,0.1,,,,,,,,,,
3365,0,0,29,0.1,,,,,,,,,,
3366,0,0,28,0,,,,,,,,,,
3367,49,48,30,0,,,,,,,,,,
3368,255,162,34,0,,,,,,,,,,
3369,468,212,39,0.1,,,,,,,,,,
3370,670,254,42,0.1,,,,,,,,,,
3371,841,282,44,0.2,,,,,,,,,,
3372,946,296,45,0.2,,,,,,,,,,
3373,987,302,46,0.2,,,,,,,,,,
3374,951,291,46,0.3,,,,,,,,,,
3375,862,285,45,0.3,,,,,,,,,,
3376,696,257,44,0.3,,,,,,,,,,
3377,510,224,42,0.3,,,,,,,,,,
3378,286,174,40,0.3,,,,,,,,,,
3379,71,66,38,0.3,,,,,,,,,,
3380,0,0,37,0.3,,,,,,,,,,
3381,0,0,36,0.3,,,,,,,,,,
3382,0,0,35,0.3,,,,,,,,,,
3383,0,0,34,0.3,,,,,,,,,,
3384,0,0,33,0.3,,,,,,,,,,
3385,0,0,33,0.2,,,,,,,,,,
3386,0,0,32,0.2,,,,,,,,,,
3387,0,0,31,0.2,,,,,,,,,,
3388,0,0,31,0.1,,,,,,,,,,
3389,0,0,30,0.1,,,,,,,,,,
3390,0,0,30,0.2,,,,,,,,,,
3391,54,51,31,0.2,,,,,,,,,,
3392,256,162,34,0.2,,,,,,,,,,
3393,469,213,38,0.3,,,,,,,,,,
3394,670,254,41,0.3,,,,,,,,,,
3395,844,282,44,0.3,,,,,,,,,,
3396,941,290,45,0.3,,,,,,,,,,
3397,981,296,46,0.4,,,,,,,,,,
3398,956,298,46,0.4,,,,,,,,,,
3399,859,284,46,0.5,,,,,,,,,,
3400,697,258,45,0.5,,,,,,,,,,
3401,501,220,43,0.5,,,,,,,,,,
3402,282,175,41,0.5,,,,,,,,,,
3403,73,68,39,0.4,,,,,,,,,,
3404,0,0,38,0.4,,,,,,,,,,
3405,0,0,37,0.4,,,,,,,,,,
3406,0,0,36,0.4,,,,,,,,,,
3407,0,0,35,0.4,,,,,,,,,,
